"direct","boite à passage direct","le passage de l'effluent s'effectue en ligne droite depuis l'amont jusqu'à l'aval de la boîte de branchement"
"siphon","boite siphoïde","boite fait office de siphon anti-odeur et fait obstacle aux corps flottants"
"disconnecteur","disconnecteur","assure la décantation ou la rétention des matières lourdes ou légères, et des corps volumineux"
"te","té","té de visite"
"borgne","borgne","boite ou point sans accès de surface"
"etanche","étanche","boite point étanche à l'eau et à l'air"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
