"puits_chute","puits de chute","variation altimétrique importante dans l'écoulement des eaux"
"gradins","gradins","variation altimétrique accompagné par en ouvrage présentant des paliers"
"saut_ski","saut à ski","variation altimétrique accompagné par un ouvrage lisse (tobogan)"
"siphon","siphon","passage des eaux suivant le principe des vases communicants"
"chasse","chasse","élément manuel ou automatique permettant de créer un lacher d'un volume d'eau"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l élément décrit"
"non_valide","Non validé(e)","information existe mais n est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. observations"
