"mural","coffret mural","coffret mural"
"socle","coffret sur socle","coffret sur socle"
"citerneau","citerneau","citerneau"
"regard","regard visitable","regard visitable"
"abri","abri non gélif","abri non gélif"
"sans","sans enveloppe","sans enveloppe"
"support","support mural","support mural"
"incendie","défense incendie","défense incendie"
"lavoir","lavoir","lavoir"
"fontaine","fontaine","fontaine"
"borne_arrosage","borne arrosage","borne arrosage"
"borne_puisage","borne puisage","borne puisage"
