"cours_eau","cours d'eau","cours d'eau : ruisseau, rivière, fleuve"
"nappe","nappe phréatique","nappe phréatique"
"retenue","retenue d'eau","retenue d'eau artificielle ou naturel"
"source","source","eau sortant naturellement du sol."
"impluvium","impluvium","zone de récupération des eaux de pluie"
"reut","reut","ré-utilisation des eaux usées"
"marin","milieu marin","eaux prélevée dans les milieux salins"
"surface","eaux de surface","eau qui s'écoule ou qui stagne à la surface de l'écorce terrestre (lithosphère)"
"souterraine","eaux souterraines","toutes les eaux se trouvant sous la surface du sol en contact direct avec le sol ou le sous-sol."
"littorale","eaux littorales","eau des océans et des mers, caractérisée par une salinité et une densité plus élevées que celles de l'eau douce."
"non_conv","eaux non conventionnelles","sont appelées eaux non conventionnelles les eaux pluviales, les eaux provenant du dessalement d'eaux de mer ou saumâtres et la réutilisation d'eaux usées traitées"
