"en_service","en service","en service"
"en_arret","en arrêt","en arrêt de service momentanée"
"abandon","abandon","en arrêt définitif de service (abandonnée)"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l élément décrit"
"non_valide","Non validé(e)","information existe mais n est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. observations"
"en_projet","en projet","prévu à terme"
"en_construction","en construction","en cours de construction ou en attente de fin de chantier"
"comble","comblé","réseau ou ouvrage abandonné et rempli de materiau"
"depose","déposé","retiré du sol ou de surface"
