"exhaure","eaux d'exhaure","puisage ou pompage des eaux d'infiltration des mines, carrières et milieux souterrains"
"transfert","transfert","pompage de transvasement entre ouvrage"
"reprise","reprise","pompage qui assure les débits et la remise en pression"
"accelerateur","accélérateur","pompage servant à accélérer l'écoulement des eaux"
"surpresseur","surpresseur","pompage servant à augmenter ou maintenir la pression du réseau"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
