"ventouse","ventouse","permet d'évacuer les gaz d'une conduite"
"disconnecteur","disconnecteur","organe de protection contre les retours d'eau"
"filtre","filtre","permet de retenir des éléments présents dans l'eau"
"chasse","chasse manuelle/automatique","organe créant une circulation soudaine d'eau"
"boite_boue","boite à boues","permet de piéger les boues"
"purge","purge","ouverture manuelle du réseau pour chasse d'air ou d'eau"
"vidange","vidange(décharge)","permet de vider entièrement une conduite ou réseau"
"anti_belier","anti-bélier","organe de protection contre les variations soudaines de pression"
"anti_retour","clapet anti-retour","organe de protection contre le retour d''eau dans le réseau"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
