"uv","uv","Lumière ultraviolet (UV)"
"radiation","radiation","Radiation électronique"
"gamma","gamma","Rayon Gamma"
"ultrason","ultrason","Ultrasons"
"chaleur","chaleur","Chaleur"
"chlore","chlore","Chlore (Cl2)"
"dichlore","dichlore","Dioxyde de chlore (ClO2)"
"hypochlorite","hypochlorite","Hypochlorite (OCl-)"
"ozone","ozone","Ozone (O3)"
"halogene","halogène","Halogènes: brome(Br2), iode(I)"
"brome","brome","Chlorure de brome (BrCl)"
"metaux","métaux","Métaux: cuivre(Cu2+), argent(Ag+)"
"kmno4","kmno4","Permanganate de potassium (KMnO4)"
"phenol","phénol","Phénols"
"alcool","alcool","Alcools"
"detergent","détergent","Savons et détergents"
"h2o2","h2o2","Peroxyde d'hydrogène"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
