"cone","Cône de réduction","diminution ou augmentation de diamètre"
"pp","Plaque pleine","plaque pleine de fermeture à une extrémité de conduite"
"plaque_taraudee","plaque taraudée","plaque percée et taraudée pour fixation robinetterie"
"coude","coude","changement de direction"
"manchon","manchon","manchon de réparation ou de jointure dans le prolongement de deux conduites"
"raccord","raccord","connexion entre plusieurs conduites"
"te","té","raccord à angle droit entre trois conduites"
"croix","croix","raccord entre 4 conduites"
"bouchon","bouchon","pièce permettant la fermeture définitive de la conduite"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
