"volume","volume","mesure d'un volume"
"vitesse","vitesse","mesure la vitesse d'écoulement"
"debit","débit","mesure du débit"
"pression","pression","mesure de la pression"
"physico_chimique","physico-chimique","mesure un ou des paramètres physico chimique (température, ph, chlore...)"
"multiple","multiple","plusieurs mesures au même point"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
