"domestique","domestique","habitat particulier ou d'un habitat collectif"
"industriel","industriel","rejettant des eaux industrielles"
"commercial","commercial","rejettant des eaux issues de commerce"
"medical","médical","rejettant des eaux d'une unité médicale"
"mixte","mixte","rejettant plusieurs types d'eaux"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
