"by_pass","By-pass","canalisation créant un by-pass du réseau ou d'un ouvrage"
"collecte","Collecte","collecte des eaux usées"
"galerie_acces","Galerie d'accès","galerie d'accès à une canalisation depuis un regard ou entre canalisation"
"stockage","Stockage","canalisation permettant le stockage ou la rétention des effluents"
"transport","Transport","canalisation de transit entre 2 ouvrages sans branchement."
"trop_plein","Trop-plein","canalisation d'évacuation d'un trop-plein d'ouvrage"
"drain","Drain","canalisation perforée pour retirer le surplus d'eau du sol"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
