"echelle","échelle fixe","échelle fixée à demeure"
"echelle_mobile","échelle mobile","élément prévu dans le regard pour installation d'un équipement mobile (échelle apportée...)"
"echelon_simple","échelon simple","marches suffisamment larges pour poser un pied"
"echelon_double","échelon double","marches suffisamment larges pour poser deux pieds"
"trou","trous dans la paroi","dispositif creusé dans la paroi"
"aucun","aucun","aucun dispositif à demeure"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
