"debourbeur","débourbeur","retient les boues"
"deshuileur","déshuileur","retient les huiles"
"degrilleur","dégrilleur","retent les éléments solides"
"separateur_hydrocarbure","séparateur hydrocarbures","retient les hydrocarbures"
"separateur_graisse","séparateur à graisse","retient les graisses et produits gras"
"decanteur","décanteur","retient les sables et particules lourdes"
"combine","combiné","combine plusieurs prétraitements"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
