"piquage_direct","piquage direct","piquage par percement de paroi"
"culotte","culotte","culotte de branchement"
"selle","selle","selle de branchement"
"tulipe","tulipe","tulipe de branchement"
"te","té","té de branchement"
"libre","sortie libre","raccord en sortie libre (exutoire, en surface, sans canalisation...)"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
