"domestique","domestique","branchement d'un habitat particulier ou d'un habitat collectif"
"industriel","industriel","eaux issues d'un bâtiment industriel (usine...)"
"commercial","commercial","eaux issues d'un bâtiment essentiellement commercial (Supermarché...)"
"tertiaire","tertiaire","eaux issues d'un bâtiment d'activité essentiellement tertiaire (bureaux...)"
"medical","medical","eaux issues d'une unité médicale ou paramédicale (hopital,  centre dialyse...)"
"mixte","mixte","branchement rejettant plusieurs d'eaux"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. observations"
