"acier","Acier","acier","métal","steel","ACDAP"
"amci","Amiante-Ciment","amiante-ciment","composite","asbestos","ACDAA"
"autre","Autre","autre","autre","other","ACDZ"
"ba","Béton Armé","béton armé","assemblage",,"ACDAH"
"beton","Béton inconnu","type non identifié de béton","assemblage","concrete","ACDAG"
"bitum","Bitume","bitume","composite",,"ACDAB"
"bois","Bois","bois","autre","wood",
"briq","Briquetage","briquetage","assemblage",,"ACDAD"
"btat","Béton Âme Tôle","béton âme tôle","assemblage",,
"btcp","Béton Composite","béton composite","assemblage","compositeConcrete",
"btfb","Béton Fibré","béton fibré","assemblage","reinforcedConcrete",
"btna","Béton Non Armé","béton non armé","assemblage",,
"btpc","Béton Précontraint","béton précontraint","assemblage","prestressedReinforcedConcrete",
"btpj","Béton Projeté","béton projeté","assemblage",,"ACDAI"
"cu","Cuivre","cuivre","métal",,
"epx","Époxy","époxy","plastique",,"ACDAT"
"fbpj","Fibre Projetées","fibre projetées","composite",,"ACDAC"
"fbro","Fibres Ciment","fibres ciment ou fibro-ciment","composite",,"ACDAK"
"fbvr","Fibre De Verre","fibre de verre","composite",,
"fd","Fonte Ductile","fonte ductile","métal",,"ACDAO"
"fg","Fonte Grise","fonte grise","métal",,"ACDAN"
"fonte","Fonte","type non identifié de fonte","métal",,"ACDAM"
"gres","Grès","grès","autre",,"ACDAE"
"inc","Inconnu","matériau non identifié","autre",,"ACDAZ"
"mac","Maçonné","maçonné","assemblage","masonry",
"maca","Maçonnerie Appareillée","maçonnerie appareillée","assemblage",,"ACDAR"
"macna","Maçonnerie Non Appareillée","maçonnerie non appareillée","assemblage",,"ACDAS"
"metal","Métal Inconnu","type non identifié fer ou acier","métal",,"ACDAQ"
"meul","Meulière","pierre meulière","assemblage",,
"mrtc","Mortier De Ciment","mortier de ciment","composite",,"ACDAF"
"pb","Plomb","plomb","métal",,
"pbu","Polybutylène (PB)","polybutylène (PB)","plastique","PB",
"pe","Polyéthylène","polyéthylène","plastique","PE","ACDAV"
"pebd","Pebd","Pebd","plastique",,
"pehd","Pehd","Pehd Lisse / type non identifié de Pehd","plastique",,
"pehda","Pehd Annelé","pehd Annelé","plastique",,
"pex","Polyéthylène Réticulé","polyéthylène réticulé à haute densité (PEX)","plastique","PEX",
"plast","Plastique Inconnu","type non identifié de plastiques","plastique",,"ACDAY"
"pp","Polypropylène","polypropylène Lisse","plastique","PP","ACDAW"
"ppa","Polypropylène Annelé","polypropylène Annelé","plastique",,
"prv","Plastiques Renforcé Fibres","plastiques renforcé fibres","plastique","FRP","ACDAL"
"pu","Polyester","polyester","plastique",,"ACDAU"
"pvc","Pvc","polychlorure de vinyle U rigide tuyaux lisses / type non identifié de PVC","plastique","PVC","ACDAX"
"pvca","Pvc Annelé","polychlorure de vinyle U rigide tuyaux annelés","plastique",,
"pvcbo","Pvc Bi-orienté","polychlorure de vinyle bi-orienté","plastique",,
"pvcc","Pvc C","polychlorure de vinyle surchloré","plastique","CPVC",
"rpmp","Mortier Renforcé","mortier renforcé de polymères(RPMP)","composite","RPMP",
"sgbt","Segment De Béton","segment de béton","assemblage",,"ACDAJ"
"tole","Tôle Galvanisée","tôle galvanisée","métal","galvanizedSteel",
"trct","Terre Cuite","terre Cuite","autre","terracota",
"nr","Non renseigné(e)","information en recherche ou disponible mais non saisie","autre",,"ACDAZ"
