"gnss","gnss","gnss (gps) standard"
"rtk","gnss-rtk","gnss centimétrique"
"station","station totale","théodolite de lever"
"lidar","lidar","télédétection par laser"
"georadar","georadar","géoradar"
"orthophoto","orthophotographie","orthophotographie ou photogrammétrie"
"manuelle","saisie manuelle","saisie faite à la main : mètre, décamètre…"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
