"recolement_certifie","récolement certifié","récolement certifié – géomètre"
"recolement_ancien","récolement ancien","récolement sans lever topo ou ancien"
"projet_certifie","projet vérifié ou certifié","plan ou projet réalisé et vérifié"
"plan_realisation","plan réalisation","récolement, plan, projet vérifié mais non lever"
"croquis_certifie","croquis vérifié","croquis/mémoire – fait immédiatement et vérifié"
"plan_non_verifie","plan non vérifié","plan ou projet non vérifié ou connu"
"croquis","croquis","croquis/mémoire – à posteriori"
"non_fiable","source non vérifiée","source inconnue et non vérifiée"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
