"gs","génératrice supérieure","ligne fictive qui marque le point le plus élevé d’une canalisation ou d’un ouvrage"
"gi","génératrice inférieure","ligne fictive qui marque le point le plus bas d’une canalisation ou d’un ouvrage"
"fe","fil d'eau","la partie la plus basse de l’intérieur d’une canalisation ou d'un ouvrage"
"voute","voûte","voûte intérieure ou intrados"
"topo","topographique","mesure du détail des formes d'un terrain"
"radier","radier","radier"
"fouille","fond de fouille","fond de fouille"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","Non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
