"gaine_pet","gaine pet","gaine polyéthylène"
"feutre_epoxy","gaine feutre epoxy","gaine feutre époxy"
"feutre_polyester","gaine feutre polyester","gaine feutre polyester"
"feutre_pur","gaine feutre polyuréthane","gaine feutre polyuréthane"
"feutre_vinylester","gaine feutre vinylester","gaine feutre vinylester"
"fibre_epoxy","gaine fibre de verre epoxy","gaine fibre de verre époxy"
"fibre_polyester","gaine fibre de verre polyester","gaine fibre de verre polyester"
"fibre_pur","gaine fibre de verre polyuréthane","gaine fibre de verre polyuréthane"
"fibre_vinylester","gaine fibre de verre vinylester","gaine fibre de verre vinylester"
"mortier_ciment","mortier de ciment","mortier de ciment"
"peinture_bitumineuse","peinture bitumineuse","peinture bitumineuse"
"peinture_epoxy","peinture intérieure epoxy","peinture intérieure époxy"
"peinture_pu","peinture intérieure polyuréthane","peinture intérieure polyuréthane"
"projection_beton","projection béton","projection béton"
"projection_epoxy","projection epoxy","projection époxy"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
