"avaloir","avaloir (01)","avaloir code pcrs 01"
"tampon","tampon (03)","fermeture ronde ou carré, d'un seul tenant, code pcrs 03"
"tampon_ajoure","tampon ajouré (03)","tampon muni d'ouverture, code pcrs 03"
"plaque","plaque (03)","plusieurs parties triangulaire ou rectangulaires,code pcrs 03"
"bouche_cle","bouche à clé (04)","permet manoeuvrer un équipement en dessous, code pcrs 04"
"branchement","branchement (04)","affleurant sur branchement, code pcrs 04"
"engouffrement","engouffrement","élément de surface pour pluvial (terme générique, sans distinction)"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
