"aep","eau potable","eau potable"
"assaep","eaux pluviales","eaux pluviales"
"ince","incendie","incendie"
"assaeu","eaux usées","eaux usées"
"assaru","réseau unitaire","réseau unitaire"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
