"usine","usine"," installation de traitement complet"
"chimique","traitement d'éléments chimiques","abattement des nitrates, phosphates, pesticides, fluoruration, défluoruration...."
"metaux","traitement des métaux","traitement des fers, métaux lourds, metalloïdes..."
"desinfection","désinfection","juste poste de désinfection"
"rechloration","re-chloration","maintient ou remonte le taux de chlore"
"equilibre","maintien des équilibres","équilibre calcocarbonique, minéralisation, dureté, ph...."
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
