"domestique","domestique","branchement d'un habitat particulier ou d'un habitat collectif"
"industriel","industriel","bâtiment industriel (usine...)"
"commercial","commercial","bâtiment essentiellement commercial (supermarché...)"
"tertiaire","tertiaire","bâtiment d'activité essentiellement tertiaire (bureaux...)"
"medical","médical","unité médicale ou paramédicale (hôpital,  centre dialyse...)"
"mixte","mixte","plusieurs autres types en même temps"
"non_renseigne","non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","non concerné(e)","information non possible ou non pertinente pour l'élément décrit"
"non_valide","non validé(e)","information existe mais n'est pas officiellement validée"
"non_determine","non déterminé(e)","information inconnue ou non disponible et ne peut pas l'être"
"autre","autre","ne figure pas dans la liste ci-dessus. cf. commentaire"
