"domestique","domestique","branchement d'un habitat particulier ou d'un habitat collectif"
"industriel","industriel","alimentant des besoins industriels"
"commercial","commercial","alimentant un immeuble commercial"
"tertiaire","tertiaire","alimentant un immeuble de type tertiaire"
"medical","medical","alimentant une unité médicale"
"mixte","mixte","alimentation de plusieurs autres types en même temps"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l élément décrit"
"non_valide","Non validé(e)","information existe mais n est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. observations"
