"cadre_beton","cadre béton","constitué par des cadres bétons"
"alveolaire","alvéolaire","structure alvéolaire"
"cuve","cuve","cuve en acier, plastique ou autre"
"terre","terre","en terre naturelle"
"empierrement","empierrement","couche de pierres cassées ou de cailloux"
"enrochement","enrochement","constitué de bloc rocheux, assemblé ou non"
"coule_en_place","coulés en place","ouvrage béton coulé ou fabriqué sur place"
"non_renseigne","Non renseigné(e)","information en recherche ou disponible mais non saisie"
"non_concerne","Non concerné(e)","information non possible ou non pertinente pour l élément décrit"
"non_valide","Non validé(e)","information existe mais n est pas officiellement validée"
"non_determine","Non déterminé(e)","information inconnue ou non disponible et ne peut pas l être"
"autre","Autre","ne figure pas dans la liste ci-dessus. cf. observations"
